Region,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,340.230956,357.909211,375.653582,385.344416,377.105855,389.220686,401.597004,403.135725,417.3144,422.262325,402.774749,385.66748,379.044855,394.376071,393.880167,385.751236,396.623973,426.681216,442.250267,409.258109,403.722436,416.541867,413.572135,428.838455,438.54678,452.765162,467.458362,474.199734,483.715246,503.455816,496.16027,514.445172,534.262322,526.180994,538.929319,529.557373,560.11998,539.879115,512.504812,526.203959,538.65433,537.235919,546.979444,552.221057,549.287447,541.937771,553.074022,565.231595,571.8213058
Chile,21.036435,20.642586,20.006579,19.709771,17.111657,17.892473,18.680602,19.391089,20.630206,21.405335,21.301263,18.387386,19.013298,20.216264,19.631224,20.226546,20.510085,24.80915,30.009387,29.435279,28.26857,29.209383,30.973457,34.00085,37.075351,42.914604,49.430175,50.089611,52.634704,48.623714,46.674236,47.4271,48.616652,53.349052,54.434634,55.677498,63.075016,66.533464,64.212781,68.604765,75.31667,77.235782,81.86194,75.468877,81.092176,85.24552,86.142982,85.71607,94.2055846
Mexico,93.748092,106.449776,117.63082,128.283263,134.558202,145.195089,154.303385,170.194443,183.823468,204.603854,219.538366,230.363813,223.835739,231.835747,241.153838,239.877146,249.470629,248.323834,262.053596,256.956533,275.145773,278.010852,285.59614,309.344834,291.33644,304.782774,323.022109,345.372244,335.899921,359.735527,360.600422,368.116069,386.601977,396.045849,412.385135,426.860195,433.36909,434.539402,425.193594,440.460336,456.460321,459.456276,449.626506,434.204441,442.41719,446.175879,445.991937,448.452404,455.0492467
United States,4289.035482,4527.984118,4691.090844,4539.98189,4355.839181,4616.828588,4781.620648,4771.142682,4800.31029,4595.789109,4533.920776,4321.08252,4294.487954,4485.577869,4514.313221,4478.048562,4633.016119,4842.013205,4904.547626,4803.082718,4765.774187,4837.748576,4952.760239,5024.11963,5073.896072,5230.535479,5495.04443,5545.442058,5563.874592,5729.87461,5702.169429,5545.478336,5610.749689,5688.77761,5703.220175,5602.449666,5686.716019,5512.512876,5120.690227,5352.120423,5128.17802,4903.010212,5038.523665,5046.56463,4928.610664,4838.476243,4761.301727,4921.125821,4766.383081
OECD Americas,4744.050965,5012.985691,5204.381825,5073.31934,4884.614895,5169.136836,5356.201639,5363.863939,5422.078364,5244.060623,5177.535154,4955.501199,4916.381846,5132.005951,5168.97845,5123.90349,5299.620806,5541.827405,5638.860876,5498.732639,5472.910966,5561.510678,5682.901971,5796.303769,5840.854643,6030.998019,6334.955076,6415.103647,6436.124463,6641.689667,6605.604357,6475.466677,6580.23064,6664.353505,6708.969263,6614.544732,6743.280105,6553.464857,6122.601414,6387.389483,6198.609341,5976.938189,6116.991555,6108.459005,6001.407477,5911.835413,5846.510668,6020.52589,5887.459218
Australia,143.364803,148.422047,157.734249,172.549574,179.467397,181.886685,195.919366,191.090637,197.378887,206.729609,207.361561,213.666649,201.759512,208.045087,220.128059,221.505411,231.814091,240.802247,254.272935,259.697211,261.037229,265.056312,268.97012,274.914397,285.324094,295.801549,303.09665,323.746128,328.805245,334.645123,340.982482,348.962582,347.969551,361.328033,365.515118,370.839121,381.067827,384.311003,390.741845,383.36385,381.778016,381.761574,375.433077,366.194357,372.446029,380.576451,383.785318,382.878608,388.7027299
Israel,13.759922,14.43047,15.653201,15.823381,16.410171,16.484552,17.385602,18.580527,19.00854,18.852429,19.640945,20.935974,21.780084,22.670877,24.310593,26.721819,28.996164,30.701533,31.953821,32.818141,33.32865,35.554276,39.046473,41.854081,44.873881,47.059855,49.247057,49.31432,50.709178,54.843946,56.131278,59.258252,61.001669,61.175031,58.796711,62.007447,64.268459,64.478539,63.854184,68.437949,67.512452,73.751873,64.772718,62.366122,63.849263,62.937451,63.68803,59.611694,63.4795176
Japan,750.99848,788.841544,897.85521,886.076965,849.909997,876.460172,901.125478,895.71128,917.872352,870.613152,846.591661,820.252682,826.177183,886.75693,866.233818,866.288567,871.445914,936.976607,964.695243,1053.86164,1065.312061,1075.800272,1068.44283,1120.639573,1130.646765,1143.670145,1134.062849,1095.8931,1130.882841,1147.859499,1136.25086,1174.549161,1183.837659,1179.806144,1181.536269,1158.267842,1195.700465,1131.06723,1075.898167,1131.757208,1187.184974,1226.60216,1234.092198,1193.26179,1155.555477,1145.4173,1125.49901,1080.715809,1066.152654
Korea,52.942062,54.852829,68.234471,71.623931,77.728222,86.410592,98.633923,107.422637,121.255918,125.599661,131.379039,131.221844,139.158984,151.43805,155.7296,162.089281,168.385191,191.985975,203.227412,231.805813,255.832695,275.919887,302.904409,327.43709,357.306006,381.680344,402.317576,343.687195,378.15852,431.897005,445.862586,435.894683,437.778851,459.789616,457.672117,464.712085,477.413786,488.844473,502.089454,550.915653,573.760776,575.466327,574.551419,562.67858,582.047107,589.212169,600.034367,605.775077,586.1598516
New Zealand,13.501739,15.470591,16.696632,17.390727,16.429691,18.177912,18.71835,18.215969,16.358744,16.475724,16.255966,17.944028,18.063991,18.438749,18.905085,17.883741,19.129328,20.40965,20.531427,21.749328,22.065985,23.805348,23.419318,23.723738,23.78705,24.879322,27.123549,26.682395,28.071275,28.917188,31.076082,30.97515,32.85781,32.339111,33.645699,33.720659,32.541337,33.397965,30.403185,30.247906,29.491904,31.222723,31.052461,31.061699,31.245359,30.421625,32.226843,31.510763,32.0498951
OECD Asia Oceania,974.567006,1022.017481,1156.173763,1163.464578,1139.945478,1179.419913,1231.782719,1231.02105,1271.874441,1238.270575,1221.229172,1204.021177,1206.939754,1287.349693,1285.307155,1294.488819,1319.770688,1420.876012,1474.680838,1599.932133,1637.57662,1676.136095,1702.78315,1788.568879,1841.937796,1893.091215,1915.847681,1839.323138,1916.627059,1998.162761,2010.303288,2049.639828,2063.44554,2094.437935,2097.165914,2089.547154,2150.991874,2102.09921,2062.986835,2164.722566,2239.728122,2288.804657,2279.901873,2215.562548,2205.143235,2208.564996,2205.233568,2160.491951,2136.544649
Austria,48.607013,50.407481,53.809202,51.134609,49.488796,53.948382,51.327818,53.665985,55.916144,54.355279,51.554551,49.777713,49.400116,50.970218,52.649019,51.640992,52.387548,50.340348,50.396354,56.239523,60.41507,55.559835,55.768797,56.183019,59.549049,63.265768,62.456823,63.070928,61.44494,61.820269,66.191275,67.631905,72.707588,74.005823,74.439147,72.145288,69.111525,68.596658,62.621017,68.336998,66.605479,63.438355,64.095876,60.353212,61.452106,61.66542,64.118116,61.468298,62.7509774
Belgium,117.980409,127.971686,133.081563,130.928862,115.556917,124.648283,123.416566,128.767615,132.333205,125.549715,115.083487,108.702242,99.939941,101.884815,100.991897,101.276348,101.340339,103.036148,104.379202,106.488647,111.080073,109.240269,107.026349,111.722421,111.313683,116.439404,113.472717,116.237806,112.401484,114.004607,115.382773,107.857199,112.569091,111.185727,107.676772,105.533637,101.500283,103.901054,96.871149,103.890892,92.80816,92.315416,94.068984,87.516749,92.847538,91.886517,90.4776,91.175713,90.6038974
Czech Republic,153.472803,152.415259,149.353694,148.492885,154.982193,159.828856,169.335137,165.308103,174.865251,167.969147,168.595288,171.257307,172.464159,175.139297,175.254229,175.249367,176.287479,172.840757,165.297689,150.20313,136.901718,131.672672,128.787162,122.499166,123.17479,124.62453,122.708428,116.852822,109.982816,121.230494,121.092364,117.124548,121.280735,121.810545,118.369879,118.850264,121.58171,116.309075,109.59992,112.460232,109.318664,105.653832,101.384367,98.267535,99.42453,101.159746,101.690554,100.749119,95.6854997
Denmark,55.421772,57.404664,56.252823,50.01681,52.645648,58.309554,59.935162,59.55137,63.078842,63.060801,52.871383,55.048467,51.689977,53.285354,61.031807,61.596683,59.815039,55.990847,50.176541,50.983247,61.203694,55.32047,57.702239,61.616444,58.385219,71.637803,61.886608,57.966888,54.780958,50.833866,52.412499,52.122679,57.522118,51.880485,48.524936,56.431166,51.663967,48.693869,46.959299,47.288433,42.066014,37.171576,38.896978,34.709752,32.507165,34.100207,31.960309,32.022456,28.7309945
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.014553,31.361006,23.459792,18.094223,17.547848,15.887426,16.846492,16.430864,15.856769,14.839012,14.449567,14.912659,14.507424,16.495636,16.551014,16.751663,15.475165,19.257702,17.690275,14.700665,18.570033,17.636968,16.372417,18.788978,17.399668,15.162391,15.462677,15.971263,15.696684,11.6106494
Finland,39.854757,43.610247,47.924706,44.208844,44.188917,50.402788,50.02907,54.638502,54.120236,54.865628,45.547032,44.086131,42.605679,43.959901,48.284914,48.450357,52.188243,51.473099,51.503329,53.83361,54.563823,51.806988,53.100465,59.564032,55.714578,62.192974,60.173993,56.817756,56.031327,54.592688,60.584543,62.954778,71.241465,67.154133,54.918043,66.45099,64.497212,56.040308,53.795592,62.000673,54.562684,48.907929,49.706581,45.690084,42.354365,45.152969,42.401662,43.753389,41.5099755
France,423.373262,438.776231,474.377986,456.558521,423.108047,463.082467,448.854244,467.903295,474.560633,455.214051,407.159088,389.602131,373.927891,361.496257,351.797985,341.624471,335.131586,333.55392,349.263213,345.59939,370.301331,359.31274,340.932562,335.700427,343.648115,359.52364,351.029466,372.496344,366.61764,364.674799,368.205343,362.524159,368.282713,368.883466,371.708144,362.43398,353.57422,349.331244,336.203512,340.052059,325.46767,328.82567,329.326297,297.550653,303.916894,306.067258,309.87204,303.478088,293.2319904
Germany,978.142404,1001.573959,1052.182398,1025.899087,973.365909,1029.249705,1013.471761,1051.706583,1099.049164,1048.150693,1015.86694,974.527147,976.079878,995.679968,1004.256098,1006.959344,997.133446,989.620447,965.797773,940.007684,917.644162,877.601541,871.821904,859.106392,856.596915,887.062102,854.919715,846.943854,814.959373,812.311609,831.479218,817.9019,820.688397,804.624916,786.931288,798.68176,767.019443,773.893025,720.182549,758.848288,731.241683,745.141688,763.651811,723.111731,729.684402,734.487052,718.794085,696.131381,659.0989218
Greece,25.064815,28.936554,33.724807,32.259338,34.099717,38.825879,40.195782,42.652071,44.8846,45.176142,44.651873,45.941543,49.128441,50.82252,54.479901,54.349543,59.811273,63.806074,68.754275,69.857367,70.101974,72.315889,72.215903,73.81484,76.478485,76.379728,77.353692,80.744241,81.029466,87.923582,90.041816,90.283202,93.848627,93.480598,95.156324,94.103838,97.902891,94.35162,90.15818,83.36947,82.117228,76.986345,68.845177,65.726678,64.543218,63.076623,63.110531,61.602208,56.8298172
Hungary,60.253993,62.096771,66.405318,68.758533,70.172709,73.341083,76.925831,84.813745,83.386443,82.613644,81.711327,82.055388,78.436297,80.477088,79.755472,78.257251,79.11138,74.451866,72.969751,65.669979,63.450196,57.143078,57.360438,56.603263,56.245319,57.343904,55.81608,56.131297,56.686536,53.280264,54.923444,54.17392,56.774935,55.060802,54.722182,54.161519,52.522404,51.753214,46.866409,47.145132,46.343688,42.748798,40.246668,40.059462,42.708351,43.777954,45.762629,45.601765,45.707822
Iceland,1.404192,1.498085,1.666275,1.661571,1.614157,1.59045,1.634358,1.75792,1.826956,1.746981,1.73625,1.563521,1.595157,1.694824,1.627919,1.701378,1.743663,1.827492,1.82425,1.895898,1.865972,1.899651,1.944589,2.054057,1.964286,2.2259,2.108493,2.100158,2.054977,2.161026,2.10556,2.205535,2.194304,2.269524,2.23538,2.272645,2.319835,2.121787,2.07988,1.949182,1.868728,1.859894,2.031822,2.047533,2.057458,2.064863,2.171843,2.196439,1.8948153
Ireland,21.642664,21.399217,20.829591,22.601027,21.14887,21.876159,23.487669,23.205516,27.053334,25.895837,25.700614,25.275324,25.123352,24.904511,26.453225,27.464475,29.104186,28.103304,29.240265,30.111854,30.730081,30.835749,30.994577,32.050536,32.636823,33.99215,35.000215,37.607302,39.114385,40.914679,43.062092,42.181915,42.091792,42.568425,44.426067,45.460283,44.646054,44.244091,39.689701,39.525628,35.392401,35.922024,34.607634,34.088184,35.339777,36.91126,35.692587,35.273544,33.3885397
Italy,289.40186,306.537251,328.081933,331.43441,317.060307,341.984762,332.594158,338.274617,353.929429,355.353186,345.953201,341.146179,336.38258,341.984101,342.046885,343.29086,362.713597,366.820724,384.750302,389.411983,388.384128,385.844311,382.857911,378.495511,401.104969,398.163469,401.287301,411.832176,417.730612,420.436632,420.18139,427.183051,445.257756,454.994798,456.431826,449.184459,441.461104,428.854473,383.717096,391.99233,384.107414,366.677218,337.575729,319.155267,329.662166,325.657076,321.481224,317.141123,302.7753574
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.777406,17.201457,13.832925,11.741535,10.14694,8.90254,8.903572,8.420937,8.027839,7.410166,6.841156,7.247275,7.234721,7.464371,7.479639,7.58061,8.030694,8.36029,7.938214,7.185957,8.087541,7.340252,6.99556,6.911939,6.723727,6.845608,6.799011,6.679644,7.1893,6.7661271
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.215171,34.286939,19.227404,15.372335,14.43084,13.434207,13.914716,13.557513,14.294702,11.899931,10.221743,10.870211,10.931246,10.938091,11.56326,12.443951,12.502004,12.684005,12.610744,11.40734,12.314715,11.525294,11.531329,10.868843,10.462848,10.550273,10.750005,10.771645,11.134892,11.1356688
Luxembourg,16.472252,16.117636,17.447977,16.012065,12.739168,13.641986,12.956887,14.160969,13.262431,12.450372,10.536409,9.8801,9.23984,10.109488,10.335311,10.018153,9.425361,9.872817,10.640486,10.745619,11.238352,10.915149,11.213037,10.3234,8.225746,8.308623,7.800141,7.121573,7.454772,8.065071,8.689852,9.374964,9.852439,11.232303,11.493299,11.30179,10.704137,10.640149,10.08492,10.664187,10.514577,10.311125,9.781443,9.288168,8.804662,8.501982,8.627174,8.948689,9.2022592
Netherlands,127.679118,142.500883,148.450095,140.148814,131.96201,140.723494,138.521472,143.012102,153.154959,145.417303,143.265879,134.919353,130.472621,135.309153,138.396723,141.461874,145.369314,143.337963,146.408543,147.774816,153.812146,152.595442,157.538409,156.688132,163.58274,173.220894,165.882191,166.264879,160.906912,161.617322,166.590316,166.903642,169.919079,171.658709,167.48966,163.262344,164.115298,164.822973,160.072111,170.762343,158.412075,157.155685,156.790967,149.502726,157.858417,158.034178,155.611718,150.868938,142.803703
Norway,23.001052,23.558764,23.368386,22.698546,23.603322,25.342984,26.583372,27.084161,28.798385,27.235484,25.468887,24.325871,24.409682,25.060867,26.41565,29.715102,27.581476,27.732835,27.092949,27.467411,25.954421,28.86254,30.53143,32.115959,31.408419,32.365369,34.117481,35.756729,37.220763,31.879214,32.889232,32.503989,35.070291,35.59359,34.500489,35.46211,36.037798,35.305649,35.683365,40.009478,38.207537,37.123595,36.936774,37.004386,37.242034,36.54085,35.590325,36.039988,26.0412108
Poland,287.362329,299.576749,312.790456,325.211998,338.900005,362.484716,375.04704,400.148279,406.116245,416.002259,385.785133,391.823647,394.117859,409.705611,422.392233,428.165065,443.657954,432.783268,413.572442,344.761599,346.210886,337.830357,338.869406,333.109212,333.337838,349.101188,337.887996,312.080092,302.800082,289.591377,288.640036,282.610945,293.129945,296.744997,296.261105,308.078167,306.294687,301.597403,291.471973,307.493273,303.187965,296.94125,292.406679,279.258971,282.70842,293.21141,305.824953,305.747659,292.8532959
Portugal,14.39064,14.549996,16.191536,16.487656,18.03111,19.347863,18.751929,19.756023,21.888958,23.753098,24.876933,25.369701,26.080652,25.040854,23.924909,27.251645,27.757947,28.861277,37.138387,37.892592,39.49669,43.638028,42.597798,44.01086,47.23115,45.354497,47.370573,52.063633,58.380644,57.852184,57.756555,61.694897,56.907576,58.12475,61.385798,56.444866,54.63161,52.832438,53.076554,47.561335,47.054931,45.670308,43.741204,42.835055,46.930899,46.46041,50.800016,47.245308,43.8334113
Slovak Republic,38.86586,39.294049,40.971941,41.841452,43.153699,43.689704,45.418863,50.650177,51.543254,55.77679,54.433055,52.820219,52.701815,54.566712,54.413304,51.687045,53.500042,54.299712,53.652459,54.811844,47.938153,44.789172,43.290931,40.586974,41.215629,41.07411,41.05845,39.581515,38.833148,36.882231,37.368026,36.900369,37.409645,36.213452,37.262253,36.484264,35.705258,35.423774,32.608964,34.572279,32.854943,31.251081,31.7854,29.171089,29.444719,30.159706,32.212012,31.630618,28.8556066
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.666341,14.104534,13.912162,13.886753,13.528758,12.737375,12.440548,13.2675,13.223313,14.063911,14.853948,15.284084,15.042995,14.445537,14.050959,14.875062,15.081149,14.96615,15.234875,15.443058,15.799301,15.75268,16.7983,15.109682,15.446955,15.427293,14.8584,14.211939,12.756345,12.805132,13.585628,13.731418,13.64007,13.0718264
Spain,119.087492,125.005222,139.380677,150.904352,155.843041,172.513826,165.222225,164.244725,174.772942,186.254122,190.241666,184.473437,187.942251,178.735175,173.024021,177.339513,178.122654,181.317427,198.712406,202.627254,210.399736,221.929588,208.165769,216.952715,228.207254,217.984598,235.853132,242.405531,263.870515,278.58432,279.776769,297.223349,302.617664,319.270327,333.709777,325.036263,337.863101,309.774101,276.085744,262.05419,264.873766,260.511562,235.161326,232.063766,247.06714,237.6125,253.987917,248.890885,229.8602673
Sweden,82.047455,82.173712,83.562243,76.514404,79.041446,85.860411,82.90431,77.583881,80.106144,73.120121,66.199147,60.477769,54.964725,54.040213,58.385814,59.86253,58.027618,55.592392,52.787524,52.077321,53.099292,55.656924,55.412879,57.379813,56.934868,62.422399,56.276569,57.230416,56.125853,51.989465,51.165348,52.743719,53.996718,52.309331,48.891155,47.454322,45.797316,44.753192,41.616152,46.806949,43.229578,40.671113,39.145274,37.695891,37.665262,37.238183,36.845604,34.514885,32.4511897
Switzerland,38.918813,39.387906,42.985846,38.506848,36.753441,38.581554,38.995933,40.108769,38.6529,39.262145,36.929691,34.94201,39.073131,38.547587,41.77273,41.673944,40.019383,39.87331,39.475012,40.745537,43.418813,43.594563,41.539021,40.482996,41.450386,42.214998,41.141318,42.64029,42.922109,41.983768,43.396658,41.882314,43.185481,43.53191,44.003701,43.626267,41.65623,43.104464,41.820623,43.252821,39.267287,40.660125,41.64817,37.844565,37.315489,37.837575,36.862212,35.714759,36.323362
Turkey,41.736699,49.055633,52.754934,55.306318,59.631229,66.674617,72.221079,73.033463,67.555819,71.522558,71.126823,77.569191,83.281541,87.715162,95.358471,103.308135,113.729963,108.735235,120.704121,128.757861,131.776117,136.527179,142.529535,140.333088,154.020479,170.677706,178.328421,178.397553,178.061404,201.216509,182.681138,192.59759,203.138607,207.391162,215.883046,240.243619,266.187786,262.354961,261.267158,267.833992,287.191198,298.42777,285.178612,307.171546,318.973757,338.874454,378.63109,374.128805,371.4096648
United Kingdom,621.136913,602.249049,634.238978,595.189739,576.041678,582.095187,592.90971,591.088378,623.134969,570.574002,554.44485,541.404192,533.135429,516.151536,543.545262,558.074689,562.619047,561.12725,547.411859,549.390011,560.129215,547.520737,530.617893,523.225784,513.796422,533.808846,511.895623,514.529284,511.948885,520.562588,535.303236,521.177335,533.471636,533.390964,531.648669,532.89988,521.733018,507.897104,460.083887,476.626011,439.178828,461.442481,447.002723,408.662693,394.021547,372.352897,359.943776,352.362605,339.2211476
